trip_id,vehicle_hash,start_time,origin_zone,destination_zone,distance_km,travel_time_min
T0240,V097,2026-03-02 00:00:00,Z04,Z04,15.94,59.72
T0804,V177,2026-03-02 00:15:00,Z04,Z01,18.04,9.6
T0026,V108,2026-03-02 00:15:00,Z02,Z04,2.76,24.8
T0219,V077,2026-03-02 00:30:00,Z01,Z04,4.88,73.98
T0638,V138,2026-03-02 01:15:00,Z02,Z02,15.86,69.67
T0159,V131,2026-03-02 01:15:00,Z01,Z01,21.84,20.18
T0489,V049,2026-03-02 01:30:00,Z03,Z01,14.69,59.42
T0326,V132,2026-03-02 02:00:00,Z01,Z02,21.68,21.24
T0570,V170,2026-03-02 02:15:00,Z01,Z03,19.83,37.21
T0274,V037,2026-03-02 02:45:00,Z03,Z04,22.7,45.75
T0803,V107,2026-03-02 03:30:00,Z02,Z03,4.03,39.95
T0251,V038,2026-03-02 03:45:00,Z02,Z02,14.99,40.59
T0248,V132,2026-03-02 03:45:00,Z03,Z03,18.81,50.4
T0278,V024,2026-03-02 04:45:00,Z03,Z03,14.97,28.2
T0352,V174,2026-03-02 04:45:00,Z04,Z02,8.72,53.19
T0646,V151,2026-03-02 04:45:00,Z01,Z02,22.85,62.22
T0689,V054,2026-03-02 05:30:00,Z02,Z03,22.19,45.51
T0518,V019,2026-03-02 05:30:00,Z01,Z04,9.72,15.61
T0734,V115,2026-03-02 06:15:00,Z03,Z02,11.21,68.26
T0282,V140,2026-03-02 06:15:00,Z04,Z01,2.55,57.52
T0301,V166,2026-03-02 06:30:00,Z01,Z02,6.37,63.62
T0698,V101,2026-03-02 07:45:00,Z02,Z02,15.3,40.02
T0010,V055,2026-03-02 07:45:00,Z04,Z03,19.87,38.33
T0421,V134,2026-03-02 08:00:00,Z03,Z03,17.12,60.22
T0187,V036,2026-03-02 08:15:00,Z04,Z03,5.12,13.19
T0028,V107,2026-03-02 09:15:00,Z01,Z01,14.44,51.17
T0716,V042,2026-03-02 09:30:00,Z04,Z01,22.32,13.96
T0005,V161,2026-03-02 09:30:00,Z02,Z02,19.14,66.04
T0652,V063,2026-03-02 10:00:00,Z03,Z03,13.77,8.93
T0119,V011,2026-03-02 11:00:00,Z02,Z02,20.82,73.73
T0883,V171,2026-03-02 12:15:00,Z04,Z04,22.95,20.39
T0859,V066,2026-03-02 12:15:00,Z01,Z04,16.38,66.93
T0653,V081,2026-03-02 13:15:00,Z01,Z04,15.86,12.01
T0524,V123,2026-03-02 13:45:00,Z04,Z03,14.74,33.57
T0687,V088,2026-03-02 13:45:00,Z04,Z04,11.1,66.89
T0423,V124,2026-03-02 14:15:00,Z04,Z03,2.88,27.4
T0014,V074,2026-03-02 14:30:00,Z04,Z01,16.46,42.2
T0420,V127,2026-03-02 15:30:00,Z01,Z04,20.36,26.77
T0544,V161,2026-03-02 15:45:00,Z01,Z04,11.79,72.25
T0064,V021,2026-03-02 15:45:00,Z04,Z03,21.78,49.59
T0868,V180,2026-03-02 16:00:00,Z03,Z04,15.54,8.15
T0629,V031,2026-03-02 16:15:00,Z02,Z03,21.05,37.55
T0619,V024,2026-03-02 16:45:00,Z02,Z01,8.02,34.07
T0006,V112,2026-03-02 17:15:00,Z02,Z01,12.55,46.03
T0426,V176,2026-03-02 17:15:00,Z04,Z03,6.64,51.61
T0021,V021,2026-03-02 17:15:00,Z04,Z04,10.66,25.41
T0812,V166,2026-03-02 18:00:00,Z03,Z04,10.35,9.65
T0406,V005,2026-03-02 19:15:00,Z03,Z01,7.55,9.09
T0575,V150,2026-03-02 19:15:00,Z01,Z03,19.59,68.48
T0222,V032,2026-03-02 21:45:00,Z01,Z04,4.14,28.02
T0856,V152,2026-03-02 22:15:00,Z03,Z04,19.6,27.7
T0634,V092,2026-03-02 23:00:00,Z01,Z04,11.5,59.05
T0790,V147,2026-03-03 00:00:00,Z03,Z03,23.98,31.01
T0453,V077,2026-03-03 00:45:00,Z04,Z01,7.15,9.56
T0516,V072,2026-03-03 01:15:00,Z04,Z04,11.41,70.83
T0456,V145,2026-03-03 01:30:00,Z01,Z01,12.4,61.21
T0787,V174,2026-03-03 02:30:00,Z04,Z01,16.55,39.4
T0002,V075,2026-03-03 02:45:00,Z03,Z01,10.89,38.95
T0223,V028,2026-03-03 03:45:00,Z03,Z01,18.86,29.51
T0895,V023,2026-03-03 04:15:00,Z02,Z02,18.18,55.36
T0439,V007,2026-03-03 04:30:00,Z04,Z04,5.57,34.67
T0078,V073,2026-03-03 04:45:00,Z02,Z03,20.74,46.92
T0448,V152,2026-03-03 05:30:00,Z04,Z04,14.21,72.97
T0153,V024,2026-03-03 05:45:00,Z03,Z01,3.98,37.2
T0568,V023,2026-03-03 06:15:00,Z03,Z03,20.91,26.87
T0263,V170,2026-03-03 07:00:00,Z04,Z01,17.5,25.44
T0899,V121,2026-03-03 07:00:00,Z04,Z02,21.4,10.29
T0451,V138,2026-03-03 07:15:00,Z02,Z04,3.44,57.29
T0447,V022,2026-03-03 07:30:00,Z04,Z03,22.04,49.42
T0035,V098,2026-03-03 08:00:00,Z04,Z01,3.12,35.57
T0669,V023,2026-03-03 08:00:00,Z04,Z01,7.38,58.94
T0780,V096,2026-03-03 08:15:00,Z02,Z04,13.16,12.7
T0769,V118,2026-03-03 08:30:00,Z02,Z01,21.31,53.76
T0519,V084,2026-03-03 09:00:00,Z02,Z04,17.84,63.04
T0649,V068,2026-03-03 09:00:00,Z01,Z03,19.98,9.63
T0848,V123,2026-03-03 09:45:00,Z04,Z02,13.63,62.87
T0039,V169,2026-03-03 10:30:00,Z02,Z04,13.44,70.98
T0894,V138,2026-03-03 10:45:00,Z04,Z04,12.36,40.89
T0697,V092,2026-03-03 10:45:00,Z04,Z03,2.54,42.81
T0292,V070,2026-03-03 10:45:00,Z01,Z02,11.16,26.94
T0813,V005,2026-03-03 10:45:00,Z03,Z03,13.06,63.84
T0714,V089,2026-03-03 11:45:00,Z03,Z04,13.05,35.61
T0595,V150,2026-03-03 11:45:00,Z01,Z04,4.94,59.72
T0009,V022,2026-03-03 12:00:00,Z02,Z04,11.26,20.47
T0073,V050,2026-03-03 12:45:00,Z04,Z04,16.1,51.53
T0320,V124,2026-03-03 12:45:00,Z01,Z01,4.95,29.52
T0735,V144,2026-03-03 13:45:00,Z04,Z04,4.41,23.11
T0695,V082,2026-03-03 14:15:00,Z04,Z02,20.05,41.4
T0643,V073,2026-03-03 14:15:00,Z01,Z02,7.17,17.34
T0091,V011,2026-03-03 15:45:00,Z03,Z01,6.98,22.56
T0342,V084,2026-03-03 15:45:00,Z01,Z03,3.99,16.69
T0469,V049,2026-03-03 15:45:00,Z04,Z04,20.02,25.57
T0702,V075,2026-03-03 16:00:00,Z04,Z03,14.46,37.07
T0105,V034,2026-03-03 16:00:00,Z03,Z02,8.0,72.29
T0058,V148,2026-03-03 16:45:00,Z03,Z02,23.31,58.48
T0197,V005,2026-03-03 17:15:00,Z02,Z04,15.02,74.08
T0514,V020,2026-03-03 17:15:00,Z03,Z04,21.19,60.92
T0204,V077,2026-03-03 17:45:00,Z01,Z04,23.46,70.02
T0778,V059,2026-03-03 17:45:00,Z01,Z04,20.7,70.95
T0890,V110,2026-03-03 18:15:00,Z04,Z04,20.52,8.55
T0184,V048,2026-03-03 18:15:00,Z03,Z02,9.09,42.73
T0746,V096,2026-03-03 18:45:00,Z02,Z02,3.98,55.39
T0003,V066,2026-03-03 19:00:00,Z04,Z02,11.88,31.86
T0685,V065,2026-03-03 19:30:00,Z03,Z04,11.01,18.74
T0711,V151,2026-03-03 20:00:00,Z02,Z02,21.93,19.43
T0315,V155,2026-03-03 20:15:00,Z02,Z02,20.73,55.03
T0072,V072,2026-03-03 20:30:00,Z03,Z04,11.37,31.86
T0690,V061,2026-03-03 21:00:00,Z01,Z01,10.73,13.51
T0482,V129,2026-03-03 21:15:00,Z03,Z01,12.05,55.06
T0462,V152,2026-03-03 21:30:00,Z03,Z04,11.34,47.2
T0617,V141,2026-03-03 22:15:00,Z04,Z01,3.87,26.98
T0529,V023,2026-03-03 22:15:00,Z04,Z02,9.9,18.48
T0732,V041,2026-03-03 22:30:00,Z04,Z02,12.88,41.31
T0045,V110,2026-03-03 22:45:00,Z02,Z04,18.75,63.59
T0436,V072,2026-03-03 22:45:00,Z02,Z01,7.4,21.02
T0651,V073,2026-03-03 23:00:00,Z03,Z02,12.53,20.18
T0375,V002,2026-03-03 23:45:00,Z04,Z04,13.06,30.6
T0493,V072,2026-03-03 23:45:00,Z01,Z04,20.15,49.71
T0841,V009,2026-03-03 23:45:00,Z02,Z02,17.73,61.87
T0358,V008,2026-03-03 23:45:00,Z02,Z03,7.76,64.71
T0381,V079,2026-03-04 00:30:00,Z03,Z03,19.46,60.3
T0386,V073,2026-03-04 00:45:00,Z02,Z03,14.6,37.05
T0591,V164,2026-03-04 01:15:00,Z01,Z01,21.34,31.24
T0604,V086,2026-03-04 01:30:00,Z01,Z01,16.87,57.37
T0110,V002,2026-03-04 01:30:00,Z03,Z02,16.71,13.41
T0228,V076,2026-03-04 01:30:00,Z02,Z01,22.46,62.59
T0244,V131,2026-03-04 01:45:00,Z03,Z03,4.95,60.93
T0844,V161,2026-03-04 01:45:00,Z02,Z01,14.23,15.14
T0271,V174,2026-03-04 02:00:00,Z01,Z01,16.5,29.88
T0036,V053,2026-03-04 02:15:00,Z03,Z02,16.81,16.6
T0885,V085,2026-03-04 02:30:00,Z02,Z04,9.77,29.95
T0405,V169,2026-03-04 04:15:00,Z02,Z02,16.71,10.37
T0351,V167,2026-03-04 04:30:00,Z01,Z03,16.06,68.15
T0718,V072,2026-03-04 04:30:00,Z02,Z02,4.41,8.38
T0157,V052,2026-03-04 04:30:00,Z01,Z03,9.26,68.01
T0241,V098,2026-03-04 05:15:00,Z04,Z03,23.59,26.77
T0820,V065,2026-03-04 05:30:00,Z03,Z03,16.8,71.93
T0527,V084,2026-03-04 05:30:00,Z02,Z03,18.03,54.96
T0627,V014,2026-03-04 06:45:00,Z03,Z02,7.27,60.73
T0701,V019,2026-03-04 07:00:00,Z02,Z02,13.21,47.9
T0580,V037,2026-03-04 08:00:00,Z01,Z03,3.08,69.46
T0725,V048,2026-03-04 09:00:00,Z01,Z04,21.84,11.12
T0336,V029,2026-03-04 09:30:00,Z01,Z04,8.7,46.25
T0532,V069,2026-03-04 10:00:00,Z01,Z02,6.42,34.97
T0783,V115,2026-03-04 10:00:00,Z01,Z02,2.6,66.16
T0579,V104,2026-03-04 10:30:00,Z01,Z01,5.99,32.37
T0087,V031,2026-03-04 10:30:00,Z04,Z02,22.37,54.09
T0069,V062,2026-03-04 10:45:00,Z03,Z04,8.52,57.71
T0747,V100,2026-03-04 11:00:00,Z04,Z03,17.84,44.98
T0838,V063,2026-03-04 11:15:00,Z01,Z04,5.43,58.34
T0090,V159,2026-03-04 11:30:00,Z03,Z01,22.85,24.32
T0102,V056,2026-03-04 11:45:00,Z02,Z03,23.1,11.23
T0845,V032,2026-03-04 12:30:00,Z01,Z01,6.95,58.74
T0080,V164,2026-03-04 12:30:00,Z02,Z01,4.79,62.15
T0258,V013,2026-03-04 12:45:00,Z02,Z03,22.89,18.54
T0822,V019,2026-03-04 13:30:00,Z04,Z03,19.9,16.44
T0875,V020,2026-03-04 14:00:00,Z03,Z04,16.34,62.56
T0755,V162,2026-03-04 14:45:00,Z01,Z03,11.52,26.77
T0597,V002,2026-03-04 15:00:00,Z02,Z01,4.26,40.13
T0622,V016,2026-03-04 15:30:00,Z01,Z02,10.53,35.96
T0534,V005,2026-03-04 15:30:00,Z01,Z03,3.31,40.8
T0743,V107,2026-03-04 15:45:00,Z01,Z04,9.52,73.56
T0585,V101,2026-03-04 16:00:00,Z02,Z02,17.16,53.48
T0169,V088,2026-03-04 17:00:00,Z04,Z02,12.21,18.91
T0121,V142,2026-03-04 17:00:00,Z01,Z04,20.59,35.59
T0331,V017,2026-03-04 17:15:00,Z04,Z03,18.88,68.52
T0297,V018,2026-03-04 17:30:00,Z01,Z03,7.51,27.28
T0467,V160,2026-03-04 19:30:00,Z02,Z03,6.87,24.93
T0561,V161,2026-03-04 19:30:00,Z03,Z01,6.81,49.76
T0655,V046,2026-03-04 20:30:00,Z01,Z02,14.22,12.54
T0309,V084,2026-03-04 21:00:00,Z04,Z01,9.16,23.06
T0303,V152,2026-03-04 21:00:00,Z03,Z03,16.62,57.41
T0174,V010,2026-03-04 21:00:00,Z02,Z01,22.97,62.78
T0647,V176,2026-03-04 21:15:00,Z03,Z02,10.18,25.84
T0042,V157,2026-03-04 21:15:00,Z03,Z01,10.03,38.08
T0207,V068,2026-03-04 21:30:00,Z02,Z02,16.47,21.05
T0253,V170,2026-03-04 22:45:00,Z02,Z01,20.85,38.69
T0298,V127,2026-03-04 22:45:00,Z03,Z03,16.09,36.69
T0765,V161,2026-03-05 00:15:00,Z03,Z03,22.37,33.36
T0876,V077,2026-03-05 00:45:00,Z04,Z04,8.63,50.53
T0408,V033,2026-03-05 00:45:00,Z01,Z03,16.78,18.31
T0178,V079,2026-03-05 00:45:00,Z01,Z03,22.79,51.37
T0033,V025,2026-03-05 01:15:00,Z03,Z02,8.76,17.63
T0363,V159,2026-03-05 01:45:00,Z04,Z01,18.92,65.25
T0441,V069,2026-03-05 02:30:00,Z03,Z01,8.97,63.55
T0149,V067,2026-03-05 03:00:00,Z02,Z02,8.76,46.63
T0745,V172,2026-03-05 03:15:00,Z02,Z04,12.36,55.69
T0143,V072,2026-03-05 03:30:00,Z01,Z02,19.94,9.3
T0833,V133,2026-03-05 04:00:00,Z03,Z01,23.52,53.54
T0233,V070,2026-03-05 04:00:00,Z02,Z03,10.69,47.15
T0762,V063,2026-03-05 04:15:00,Z01,Z01,4.48,20.15
T0081,V015,2026-03-05 04:15:00,Z02,Z02,13.1,36.52
T0642,V063,2026-03-05 04:45:00,Z02,Z03,4.28,57.14
T0805,V023,2026-03-05 05:15:00,Z04,Z02,17.33,63.16
T0459,V180,2026-03-05 05:15:00,Z04,Z01,4.35,51.31
T0310,V148,2026-03-05 05:45:00,Z02,Z01,9.0,54.81
T0131,V056,2026-03-05 06:00:00,Z03,Z02,9.71,10.08
T0468,V031,2026-03-05 07:00:00,Z02,Z01,7.72,39.59
T0259,V143,2026-03-05 07:30:00,Z01,Z03,20.45,48.79
T0581,V022,2026-03-05 07:30:00,Z02,Z01,15.3,21.68
T0849,V084,2026-03-05 09:30:00,Z01,Z03,14.52,35.96
T0726,V126,2026-03-05 10:00:00,Z04,Z02,2.62,36.32
T0214,V140,2026-03-05 10:00:00,Z02,Z01,14.73,24.15
T0449,V123,2026-03-05 10:00:00,Z03,Z02,4.44,66.17
T0809,V128,2026-03-05 10:15:00,Z01,Z04,23.82,17.26
T0330,V019,2026-03-05 10:15:00,Z04,Z04,18.09,48.3
T0630,V108,2026-03-05 10:30:00,Z04,Z04,21.0,31.43
T0267,V070,2026-03-05 12:15:00,Z02,Z04,18.39,59.33
T0542,V176,2026-03-05 12:30:00,Z02,Z01,9.41,62.02
T0047,V061,2026-03-05 12:45:00,Z01,Z02,14.63,49.06
T0237,V076,2026-03-05 12:45:00,Z02,Z02,5.06,57.74
T0407,V179,2026-03-05 13:15:00,Z02,Z01,17.47,33.12
T0744,V143,2026-03-05 13:30:00,Z01,Z01,10.15,42.24
T0446,V030,2026-03-05 14:15:00,Z02,Z01,21.69,47.92
T0038,V139,2026-03-05 14:30:00,Z03,Z01,11.74,45.63
T0316,V149,2026-03-05 15:00:00,Z03,Z02,8.32,43.83
T0473,V127,2026-03-05 16:15:00,Z03,Z03,22.88,46.24
T0782,V167,2026-03-05 16:30:00,Z02,Z01,5.98,34.25
T0011,V034,2026-03-05 16:30:00,Z04,Z03,20.75,45.53
T0558,V050,2026-03-05 16:45:00,Z01,Z04,9.52,71.83
T0889,V118,2026-03-05 16:45:00,Z03,Z02,14.9,13.41
T0717,V024,2026-03-05 17:30:00,Z02,Z04,19.07,32.47
T0158,V014,2026-03-05 17:30:00,Z02,Z02,23.35,70.99
T0466,V076,2026-03-05 17:45:00,Z01,Z02,5.64,28.53
T0050,V090,2026-03-05 18:15:00,Z03,Z02,3.26,60.68
T0671,V047,2026-03-05 18:30:00,Z02,Z02,19.23,37.5
T0806,V096,2026-03-05 19:00:00,Z01,Z02,9.93,65.73
T0739,V167,2026-03-05 19:15:00,Z03,Z01,20.19,31.53
T0287,V142,2026-03-05 19:45:00,Z01,Z04,23.5,29.32
T0830,V131,2026-03-05 20:00:00,Z02,Z04,11.39,73.59
T0000,V044,2026-03-05 20:30:00,Z02,Z01,12.09,36.91
T0201,V090,2026-03-05 20:30:00,Z02,Z04,17.43,56.72
T0870,V110,2026-03-05 20:45:00,Z03,Z02,23.72,71.85
T0861,V027,2026-03-05 21:30:00,Z04,Z02,15.49,58.25
T0255,V135,2026-03-05 21:45:00,Z03,Z02,20.02,20.26
T0392,V014,2026-03-05 22:00:00,Z02,Z01,16.94,30.58
T0370,V108,2026-03-05 22:00:00,Z04,Z04,13.51,56.43
T0712,V072,2026-03-05 22:15:00,Z04,Z03,23.59,35.93
T0632,V056,2026-03-05 22:15:00,Z02,Z02,11.23,19.74
T0142,V020,2026-03-05 22:45:00,Z03,Z04,7.09,67.3
T0818,V107,2026-03-05 23:00:00,Z01,Z04,2.88,72.46
T0847,V002,2026-03-05 23:00:00,Z04,Z02,10.99,55.34
T0059,V072,2026-03-05 23:45:00,Z04,Z01,15.81,13.22
T0684,V023,2026-03-06 00:15:00,Z02,Z02,4.37,46.91
T0322,V129,2026-03-06 00:15:00,Z02,Z03,11.89,73.3
T0826,V179,2026-03-06 00:45:00,Z02,Z03,13.79,38.24
T0317,V030,2026-03-06 01:00:00,Z01,Z04,17.63,39.14
T0249,V041,2026-03-06 01:00:00,Z02,Z01,12.88,45.51
T0225,V039,2026-03-06 01:15:00,Z03,Z04,2.78,31.26
T0730,V158,2026-03-06 01:30:00,Z01,Z04,14.38,22.02
T0660,V133,2026-03-06 01:45:00,Z04,Z01,12.36,66.44
T0828,V072,2026-03-06 01:45:00,Z04,Z03,10.67,12.19
T0736,V105,2026-03-06 01:45:00,Z03,Z02,9.72,15.82
T0016,V151,2026-03-06 02:45:00,Z03,Z03,10.84,40.45
T0757,V131,2026-03-06 03:00:00,Z04,Z03,2.5,72.68
T0772,V062,2026-03-06 03:30:00,Z02,Z03,21.03,16.58
T0098,V162,2026-03-06 04:30:00,Z03,Z01,21.95,41.23
T0450,V068,2026-03-06 04:45:00,Z02,Z02,11.57,43.15
T0294,V122,2026-03-06 05:45:00,Z02,Z04,23.45,47.24
T0740,V131,2026-03-06 06:30:00,Z01,Z01,11.44,27.51
T0791,V047,2026-03-06 07:45:00,Z01,Z01,23.76,71.48
T0626,V041,2026-03-06 08:15:00,Z04,Z01,10.52,64.07
T0307,V073,2026-03-06 09:00:00,Z01,Z03,10.7,28.92
T0577,V079,2026-03-06 09:15:00,Z04,Z01,8.75,67.2
T0054,V124,2026-03-06 09:15:00,Z02,Z02,13.44,60.49
T0146,V070,2026-03-06 09:15:00,Z02,Z03,4.39,19.35
T0548,V076,2026-03-06 09:30:00,Z03,Z02,7.68,25.65
T0659,V050,2026-03-06 09:30:00,Z04,Z03,4.78,35.48
T0027,V027,2026-03-06 10:00:00,Z01,Z04,20.58,44.09
T0247,V115,2026-03-06 10:00:00,Z01,Z04,11.97,12.57
T0416,V031,2026-03-06 10:30:00,Z01,Z04,10.53,46.54
T0758,V011,2026-03-06 10:30:00,Z02,Z04,13.57,17.77
T0397,V042,2026-03-06 12:45:00,Z04,Z02,14.59,32.28
T0041,V130,2026-03-06 13:45:00,Z03,Z04,11.24,23.74
T0057,V118,2026-03-06 14:30:00,Z04,Z01,10.87,67.26
T0892,V023,2026-03-06 15:15:00,Z04,Z03,4.28,32.04
T0612,V033,2026-03-06 15:45:00,Z04,Z02,18.84,20.6
T0554,V093,2026-03-06 16:00:00,Z04,Z03,22.51,69.09
T0236,V023,2026-03-06 16:00:00,Z03,Z03,7.28,10.54
T0457,V134,2026-03-06 16:30:00,Z02,Z01,23.34,41.3
T0290,V121,2026-03-06 16:30:00,Z04,Z01,23.0,34.33
T0374,V043,2026-03-06 17:15:00,Z02,Z03,17.67,60.18
T0768,V116,2026-03-06 17:45:00,Z02,Z02,11.0,65.85
T0339,V027,2026-03-06 18:15:00,Z03,Z02,3.35,67.04
T0475,V115,2026-03-06 18:45:00,Z04,Z04,18.64,35.3
T0345,V119,2026-03-06 18:45:00,Z03,Z02,22.29,25.8
T0779,V179,2026-03-06 18:45:00,Z04,Z02,14.2,34.28
T0851,V117,2026-03-06 18:45:00,Z04,Z02,4.41,49.06
T0553,V127,2026-03-06 20:00:00,Z02,Z04,16.16,26.48
T0353,V029,2026-03-06 20:15:00,Z03,Z01,11.33,74.07
T0471,V179,2026-03-06 20:30:00,Z02,Z04,17.18,62.23
T0012,V117,2026-03-06 21:00:00,Z03,Z04,22.76,23.82
T0203,V160,2026-03-06 21:00:00,Z03,Z03,19.3,50.93
T0472,V036,2026-03-06 22:00:00,Z04,Z01,19.36,31.27
T0503,V100,2026-03-06 22:15:00,Z02,Z03,3.62,66.9
T0427,V145,2026-03-06 22:30:00,Z01,Z03,13.78,30.59
T0118,V055,2026-03-06 23:00:00,Z01,Z03,13.83,63.79
T0511,V036,2026-03-07 00:00:00,Z01,Z02,17.46,51.89
T0479,V080,2026-03-07 00:00:00,Z02,Z03,13.24,34.76
T0835,V016,2026-03-07 00:00:00,Z02,Z04,22.61,66.02
T0827,V022,2026-03-07 00:00:00,Z01,Z03,14.26,50.45
T0866,V007,2026-03-07 00:15:00,Z03,Z01,18.97,29.71
T0637,V124,2026-03-07 00:30:00,Z01,Z04,9.61,52.4
T0504,V041,2026-03-07 00:45:00,Z02,Z02,14.3,63.69
T0082,V021,2026-03-07 01:00:00,Z03,Z03,15.11,39.01
T0113,V119,2026-03-07 01:00:00,Z03,Z04,10.65,41.52
T0891,V090,2026-03-07 01:00:00,Z02,Z02,14.0,46.24
T0720,V036,2026-03-07 01:15:00,Z04,Z04,22.44,65.38
T0724,V058,2026-03-07 01:30:00,Z01,Z03,12.47,25.26
T0678,V068,2026-03-07 01:45:00,Z01,Z02,23.72,39.81
T0200,V094,2026-03-07 02:00:00,Z02,Z03,9.38,22.77
T0318,V087,2026-03-07 02:45:00,Z03,Z03,5.23,14.72
T0328,V015,2026-03-07 03:00:00,Z01,Z03,4.86,46.59
