incident_id,start_time,detector_id,segment_id,rain,event,incident_type,duration_min
I001,2026-03-04 06:30:00,D01,S01,1,0,轻微碰撞,11
I002,2026-03-09 12:00:00,D01,S01,1,0,车辆故障,57
I003,2026-03-14 21:30:00,D01,S01,0,0,道路障碍,38
I004,2026-03-03 05:30:00,D02,S02,0,0,车辆故障,62
I005,2026-03-08 16:00:00,D02,S02,0,0,道路障碍,47
I006,2026-03-05 17:00:00,D03,S03,0,0,道路障碍,28
I007,2026-03-10 15:15:00,D03,S03,0,0,道路障碍,27
I008,2026-03-10 17:30:00,D03,S03,0,0,道路障碍,15
I009,2026-03-11 22:30:00,D03,S03,0,0,车辆故障,47
I010,2026-03-15 20:45:00,D03,S03,0,0,轻微碰撞,11
I011,2026-03-13 17:00:00,D04,S04,1,0,道路障碍,65
I012,2026-03-02 04:30:00,D05,S05,0,0,轻微碰撞,40
I013,2026-03-03 03:45:00,D05,S05,0,0,道路障碍,43
I014,2026-03-03 10:45:00,D05,S05,0,0,道路障碍,62
I015,2026-03-04 18:00:00,D05,S05,1,0,道路障碍,47
I016,2026-03-12 00:30:00,D05,S05,0,0,轻微碰撞,25
I017,2026-03-06 13:15:00,D06,S06,0,0,道路障碍,53
I018,2026-03-08 03:45:00,D06,S06,0,0,道路障碍,28
I019,2026-03-09 08:45:00,D06,S06,1,0,轻微碰撞,51
I020,2026-03-12 16:30:00,D06,S06,0,0,车辆故障,13
I021,2026-03-14 23:30:00,D06,S06,0,0,轻微碰撞,51
